xbegin,ybegin,zbegin,xdif,ydif,zdif,number
3115,2425,2195,6617,527,-6089,6,
3020,2485,2128,6610,526,-6083,6,
2932,2594,2012,6603,526,-6077,6,
2861,2815,1785,6597,525,-6071,6,
2839,3202,1391,6590,525,-6065,6,
2883,3536,1051,6584,524,-6059,6,
2962,105,875,6577,524,-6053,6,
3053,191,782,6570,523,-6047,6,
3121,185,787,5727,-272,-1651,6,
3188,179,791,5721,-272,-1650,6,
3256,174,793,5715,-272,-1648,6,
3324,170,795,5709,-271,-1646,6,
3392,167,796,5704,-271,-1645,6,
3460,163,796,5698,-271,-1643,6,
3528,160,796,5692,-271,-1641,6,
3596,157,796,5687,-270,-1640,6,
64,154,796,5681,-270,-1638,6,
132,151,795,5675,-270,-1637,6,
199,147,793,5670,-270,-1635,6,
258,152,807,5272,-59,-252,6,
317,158,822,5267,-59,-252,6,
376,168,840,5262,-59,-252,6,
434,180,860,5256,-59,-251,6,
492,197,884,5251,-59,-251,6,
549,221,915,5246,-59,-251,6,
606,254,955,5241,-59,-251,6,
660,305,1012,5235,-58,-250,6,
711,385,1099,5230,-58,-250,6,
756,520,1241,5225,-58,-250,6,
785,750,1477,5220,-58,-250,6,
788,1053,1786,5214,-58,-249,6,
762,1300,2040,5209,-58,-249,6,
747,1446,2189,3119,125,-1519,6,
729,1560,2306,2893,155,-1596,6,
704,1648,2396,2890,155,-1594,6,
675,1714,2465,2887,155,-1593,6,
644,1764,2518,2884,155,-1591,6,
612,1804,2560,2881,155,-1589,6,
578,1834,2594,2878,155,-1588,6,
544,1859,2621,2875,154,-1586,6,
509,1879,2644,2872,154,-1585,6,
474,1896,2664,2870,154,-1583,6,
441,1910,2681,2602,169,-1507,6,
409,1921,2696,2593,20,-1522,6,
375,1926,2704,2745,25,-1136,6,
341,1929,2708,2835,17,-974,6,
307,1931,2712,2866,5,-943,6,
272,1933,2715,2898,2,-928,6,
237,1934,2718,2944,5,-911,6,
201,1935,2720,3004,10,-896,6,
164,1936,2722,3074,17,-886,6,
127,1937,2723,3155,25,-884,6,
88,1937,2724,3236,39,-882,6,
49,1938,2725,3325,66,-878,6,
9,1939,2725,3403,90,-868,6,
3583,1940,2710,2456,49,828,6,
3569,1941,2700,1324,3,435,6,
3560,1941,2696,806,14,118,6,
3553,1942,2694,636,21,12,6,
3547,1942,2693,530,3,-52,6,
3543,1942,2694,410,0,-128,6,
0,1941,2699,162,3,-27,6,
0,96,1768,23,1,122,4,
0,96,1771,46,1,259,4,
0,96,1775,68,1,397,4,
0,96,1782,91,0,536,4,
0,96,1790,114,1,677,4,
0,96,1798,107,-1,680,4,
3599,96,1800,-6,-10,215,4,
594,3037,899,60,0,91,5,
596,3037,899,89,0,134,5,
598,3037,899,118,0,178,5,
602,3037,899,148,0,222,5,
605,3037,899,178,0,267,5,
610,3037,899,209,0,314,5,
615,3037,899,241,0,362,5,
620,3037,899,273,0,411,5,
627,3037,900,306,0,462,5,
634,3037,900,342,0,514,5,
641,3037,900,378,-3,567,5,
650,3037,900,416,0,625,5,
660,3037,900,456,0,683,5,
670,3036,900,497,-4,744,5,
681,3036,900,539,0,810,5,
693,3037,900,584,0,876,5,
706,3036,900,632,-4,947,5,
720,3036,900,680,0,1022,5,
735,3036,900,733,-4,1099,5,
752,3036,900,786,0,1181,5,
769,3036,900,845,-4,1267,5,
788,3037,900,903,0,1356,5,
808,3036,900,969,-4,1451,5,
829,3037,900,1031,3,1548,5,
852,3037,900,1105,-3,1654,5,
876,3039,902,1171,11,1758,5,
898,1238,2701,1208,0,1797,5,
889,1284,2747,475,33,596,5,
883,1264,2727,284,-2,425,5,
879,1248,2711,187,1,321,5,
876,1241,2704,114,1,200,5,
875,1239,2701,43,0,73,5,
899,2138,0,94,0,130,5,
876,2403,2586,2208,26,-931,5,
866,2262,2445,1062,-4,-396,5,
856,2202,2384,859,11,-303,5,
848,2167,2349,748,5,-253,5,
841,2143,2324,638,11,-202,5,
835,2126,2307,514,13,-143,5,
831,2113,2293,389,10,-80,5,
828,2102,2283,257,5,-20,5,
827,2093,2274,117,-1,41,5,
898,3418,0,200,-7,25,5,
899,3419,0,86,6,26,5,
3505,2710,2704,379,1,-102,6,
3505,2711,2700,302,26,47,6,
3508,2712,2699,111,33,230,6,
3512,2712,2698,9,-2,366,6,
3518,2711,2699,-30,-23,489,6,
3525,2711,2699,-27,-28,615,6,
3534,2710,2700,-11,-29,744,6,
3544,2710,2700,8,-22,869,6,
3555,2710,2700,12,-7,1006,6,
3568,2710,2700,22,-5,1137,6,
3583,2710,2700,28,-10,1272,6,
3598,2710,2700,31,-1,1354,6,
3,2711,2701,-66,26,385,6,
5,2710,2700,73,-20,144,6,
0,90,1766,13,0,87,4,
0,90,1769,35,0,224,4,
0,90,1773,57,0,361,4,
0,90,1779,79,0,500,4,
0,90,1786,101,0,640,4,
0,90,1795,121,1,782,4,
0,90,1800,20,-14,347,4,
829,3065,2414,155,-3,90,5,
833,3062,2411,200,-7,221,5,
838,3063,2412,245,-10,352,5,
844,3069,2418,291,-11,484,5,
852,3083,2433,336,-10,617,5,
862,3111,2461,382,-10,749,5,
872,3174,2524,426,-7,882,5,
884,3303,2654,596,-15,931,5,
897,3594,2946,934,-89,621,5,
893,1408,759,681,-8,312,5,
891,1525,876,312,0,81,5,
889,1558,910,162,5,40,5,
2810,1480,551,107,-61,186,2,
2806,1484,546,226,-49,237,2,
2801,1488,541,344,-32,291,2,
2795,1491,537,462,-13,347,2,
2786,1495,534,579,7,405,2,
2777,1499,530,698,25,464,2,
2766,1501,528,832,-10,495,2,
2753,1498,530,960,-32,533,2,
2739,1490,538,1088,-39,580,2,
2723,1465,563,1225,-42,638,2,
2706,1375,653,1308,-1,761,2,
2701,3511,2117,455,1,359,2,
828,3118,2701,109,0,122,5,
832,3118,2701,194,0,217,5,
836,3118,2701,280,0,313,5,
843,3118,2701,366,0,410,5,
851,3118,2701,453,0,508,5,
860,3119,2701,542,0,607,5,
871,3119,2701,632,-4,710,5,
883,3120,2703,723,-6,813,5,
896,3126,2709,762,-8,843,5,
898,1435,1018,269,-11,243,5,
3599,88,1786,24,3,154,4,
0,88,1790,48,5,297,4,
0,88,1795,69,7,440,4,
0,88,1799,51,3,323,4,
3158,62,3506,4813,5,-1710,5,
3210,66,3501,4457,13,-1598,5,
3262,74,3486,4453,13,-1596,5,
3315,81,3473,4448,13,-1595,5,
3369,87,3462,4444,13,-1593,5,
3422,91,3451,4439,13,-1591,5,
3475,93,3441,4435,13,-1590,5,
3528,95,3431,4430,13,-1588,5,
3581,96,3422,4426,13,-1587,5,
