xbegin,ybegin,zbegin,xdif,ydif,zdif,counter,number
755,2396,939,1214,-81,1429,48,5
900,1471,0,13,-1,6,76,5
900,1471,0,7,-1,4,77,5
39,916,920,991,-39,690,234,1
29,916,929,868,-39,828,235,1
18,916,938,787,-29,895,236,1
7,916,945,696,-8,987,237,1
3599,3517,909,0,-3,217,188,1
3599,3517,909,11,-1,76,189,1
3549,3186,2701,450,-41,717,45,6
3560,3186,2702,708,-11,720,46,6
3587,3186,2700,990,-3,735,48,6
2,3186,2699,1041,-8,796,49,6
7,3186,2700,237,-4,272,50,6
3538,97,3528,76,-4,312,118,3
3579,93,3597,988,-17,877,126,3
3594,92,3,1363,-25,308,127,3
47,3591,2673,13,-11,499,213,6
3593,3334,1759,39,-11,904,43,4
3591,133,1898,48,-1,4,191,4
3417,2409,871,1128,-70,283,54,1
3415,2412,859,1009,-64,298,55,1
3413,2415,848,895,-55,283,56,1
3411,2417,838,783,-26,280,57,1
3411,2420,829,667,-29,289,58,1
3411,2422,821,557,-28,298,59,1
3411,2424,815,447,-23,307,60,1
3413,2425,809,337,-16,316,61,1
3415,2427,805,228,-19,331,62,1
3418,2427,802,121,-21,346,63,1
3422,2428,800,16,-24,363,64,1
3591,398,897,642,-17,2075,78,1
3593,396,909,811,-149,557,79,1
0,396,920,137,-1,114,82,1
0,396,921,5,-1,27,83,1
2721,1523,903,816,-1,422,36,2
2709,1518,907,939,-7,485,37,2
2705,3280,2745,241,-9,163,39,2
2707,3290,2736,105,-1,55,40,2
3599,826,2666,197,-1,26,72,6
3599,826,2691,754,-1,97,76,6
3599,826,2699,9,-3,3,83,6
0,13,1759,28,-2,1131,20,4
0,13,1773,29,-8,1263,21,4
29,1245,899,34,-2,59,77,1
27,1245,899,115,-1,172,78,1
2724,908,902,27,-3,1266,21,2
0,11,1771,27,-2,1242,21,4
0,11,1798,1,-18,948,23,4
3599,11,1804,23,-2,113,25,4
838,2792,3384,725,-167,3002,0,5
886,2791,3383,565,-21,3220,1,5
889,1056,1649,496,-8,1998,2,5
872,1127,1720,696,-11,1241,3,5
858,1171,1763,710,-3,1066,4,5
832,1207,1799,583,-7,843,6,5
822,1209,1801,460,-1,750,7,5
796,1206,1798,193,-1,332,11,5
898,3030,22,92,-2,148,30,5
702,3596,9,159,-265,161,20,5
704,3597,10,164,-73,66,21,5
733,3586,3599,669,-10,31,27,5
742,3586,0,771,-8,32,28,5
752,3587,0,873,-5,27,29,5
763,3587,0,977,-3,22,30,5
776,3586,0,1085,-5,23,31,5
790,3586,0,1196,-4,26,32,5
805,3586,0,1312,-5,30,33,5
821,3586,0,1430,-7,32,34,5
839,3586,0,1555,-5,37,35,5
858,3586,0,1680,-10,38,36,5
879,3588,2,1818,-4,45,37,5
900,3585,0,1785,-14,33,38,5
892,1720,1734,639,-8,87,39,5
3565,164,3278,84,-7,400,239,3
3566,163,3283,187,-7,404,240,3
3568,163,3289,290,-14,410,241,3
3571,162,3295,393,-16,416,242,3
3575,162,3301,497,-14,426,243,3
3580,161,3308,602,-10,437,244,3
3586,161,3315,708,-8,450,245,3
3594,161,3323,820,-4,471,246,3
2,162,3365,254,-4,1014,250,3
0,162,3392,254,-17,1171,252,3
3599,162,3406,338,-12,1243,253,3
3599,162,3422,394,-12,1321,254,3
3599,162,3439,427,-3,1411,255,3
0,162,3457,450,-3,1510,256,3
0,161,3477,471,-5,1611,257,3
0,161,3497,497,-4,1720,258,3
0,161,3519,530,-9,1827,259,3
0,161,3542,563,-4,1949,260,3
0,161,3567,602,-14,2063,261,3
0,161,3593,631,-1,2179,262,3
0,161,4,313,-14,829,263,3
3597,832,1,61,-46,437,54,3
875,3281,901,23,-1,16,82,5
877,3282,902,142,-1,92,83,5
881,3284,904,262,-1,166,84,5
0,15,1755,17,-2,748,80,4
0,15,1765,22,-5,881,81,4
0,15,1776,26,-9,1016,82,4
715,2795,2699,7,-10,313,122,5
719,2796,2700,43,-8,405,123,5
725,2797,2701,75,-1,495,124,5
749,2796,2700,138,-2,784,127,5
759,2796,2700,150,-2,887,128,5
771,2796,2700,166,-4,992,129,5
784,2796,2700,184,-5,1101,130,5
798,2796,2700,204,-5,1212,131,5
813,2796,2700,224,-6,1328,132,5
